procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3125052  73032 731496    0    0     0     0   89  101  0  0 100  0  0
 0  1      0 3125184  73040 731496    0    0     0    52   89  111  0  0 99  0  0
 0  0      0 3125240  73040 731496    0    0     0     0   85  104  0  0 97  2  0
 0  0      0 3125076  73040 731500    0    0     0     0   83   98  0  0 100  0  0
 0  0      0 3124976  73040 731508    0    0     0     0   80  104  0  0 99  0  0
 0  0      0 3125068  73040 731516    0    0     0     0   82   94  0  0 99  0  0
 0  1      0 3125208  73044 731516    0    0     0    40   89  103  0  0 99  1  0
 0  0      0 3125216  73044 731524    0    0     0     0   86  100  0  1 97  2  0
 0  0      0 3125108  73044 731528    0    0     0     0   90  112  0  0 99  0  0
 0  0      0 3125092  73044 731536    0    0     0     0   88  101  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3124960  73044 731540    0    0     0     0   82   98  0  0 100  0  0
 1  1      0 3125092  73048 731544    0    0     0    60   79  101  0  0 99  1  0
 0  0      0 3125092  73048 731548    0    0     0     0   91  111  0  0 97  3  0
 0  0      0 3125092  73048 731556    0    0     0     0   80   94  0  0 99  0  0
 0  0      0 3124960  73048 731560    0    0     0     0   79   94  0  0 100  0  0
 0  0      0 3125092  73048 731564    0    0     0     0   81   92  0  0 100  0  0
 0  1      0 3125148  73056 731572    0    0     0    36   94  119  0  1 99  1  0
 0  0      0 3125092  73056 731576    0    0     0    20   88  105  0  0 97  2  0
 0  0      0 3125116  73056 731588    0    0     0     0   87  105  0  0 99  0  0
 0  0      0 3125092  73056 731592    0    0     0     0   80   91  0  0 100  0  0
 0  0      0 3125124  73056 731596    0    0     0     0   84  105  0  0 99  0  0
 0  1      0 3125092  73064 731592    0    0     0    44   81  101  0  0 99  1  0
 0  0      0 3125124  73064 731608    0    0     0    20   98  106  0  0 99  0  0
 0  0      0 3125124  73064 731612    0    0     0     0   86   92  0  1 99  0  0
 0  0      0 3125016  73064 731616    0    0     0     0   86  102  0  0 99  0  0
 0  0      0 3125000  73064 731620    0    0     0     0   91  101  0  0 100  0  0
 0  1      0 3124868  73072 731616    0    0     0    48   90  109  0  0 99  1  0
 0  0      0 3125000  73072 731632    0    0     0    24   93  101  0  0 99  0  0
 0  0      0 3124976  73072 731636    0    0     0     0   89  115  0  1 99  0  0
 0  0      0 3125124  73072 731640    0    0     0     0   79   89  0  0 100  0  0
 0  0      0 3125024  73072 731644    0    0     0     0   79   96  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 3125304  73080 731652    0    0     0    36   83  102  0  0 99  1  0
 1  0      0 3125024  73080 731564    0    0     0    12   88  113  0  1 97  2  0
