procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2861884  53580 1074424    0    0    18    92   68  100  1  2 96  1  0
 0  0      0 2861932  53580 1074468    0    0     0     0   58   67  0  0 100  0  0
 0  0      0 2861932  53580 1074468    0    0     0     0   18   24  0  0 100  0  0
 1  0      0 2861932  53580 1074468    0    0     0     0   19   28  0  0 100  0  0
 1  0      0 2829132  53580 1074440    0    0     0     0 2405 3880 13 22 65  0  1
 3  0      0 2829204  53580 1074504    0    0     0    72 2792 4322  9 31 59  0  0
 1  0      0 2828616  53580 1074476    0    0     0     0 2864 4421  7 31 61  0  1
 1  0      0 2827376  53580 1074468    0    0     0     4 2814 4369  7 32 61  0  0
 1  0      0 2827904  53580 1074424    0    0     0     0 2928 4511  7 32 61  0  0
 2  0      0 2826496  53580 1074488    0    0     0     0 2886 4486  6 32 61  0  0
 2  0      0 2826280  53588 1074512    0    0     0    20 2945 4635  8 30 60  1  1
 1  0      0 2826324  53588 1074592    0    0     0     0 2811 4411  7 32 60  0  0
 2  0      0 2825408  53588 1074548    0    0     0   192 2892 4446  7 32 61  0  0
 1  0      0 2825816  53588 1074732    0    0     0     0 2862 4459  9 31 60  0  0
 1  0      0 2824196  53588 1074660    0    0     0     0 2821 4462  8 31 60  0  0
 1  0      0 2824660  53592 1074672    0    0     0    60 3008 4624  6 32 60  1  0
 3  0      0 2824652  53592 1074776    0    0     0     0 2897 4514  8 32 60  0  0
 1  0      0 2823280  53592 1074744    0    0     0     0 2876 4429  8 32 60  0  0
 3  0      0 2823164  53592 1074832    0    0     0     0 2869 4601  8 32 60  0  0
 3  0      0 2821692  53592 1074864    0    0     0     0 2787 4227  8 30 62  0  1
 1  0      0 2822388  53596 1074816    0    0     0    20 2889 4416  7 33 59  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2821640  53596 1074900    0    0     0     0 2835 4437  7 32 60  0  0
 2  0      0 2821132  53596 1075016    0    0     0     0 2923 4506  8 32 59  0  0
 3  0      0 2820828  53596 1074948    0    0     0     0 2812 4402  7 33 60  0  0
 1  0      0 2820824  53596 1075020    0    0     0     0 2990 4576  7 33 60  0  0
 3  0      0 2819992  53600 1075084    0    0     0    20 2836 4347  8 31 60  1  0
 1  0      0 2819516  53600 1075132    0    0     0     0 2840 4490  8 31 60  0  0
 1  0      0 2819144  53600 1075172    0    0     0     0 2828 4383 10 30 60  0  0
 1  0      0 2818824  53600 1075220    0    0     0     0 2830 4364  8 32 61  0  0
 2  0      0 2818528  53600 1075220    0    0     0     0 2897 4514  9 31 60  0  0
 1  0      0 2817400  53604 1075208    0    0     0    20 2844 4444  8 32 59  1  0
 3  0      0 2817544  53604 1075316    0    0     0     0 2832 4403  8 32 60  0  0
 3  0      0 2816916  53604 1075412    0    0     0     0 2895 4361  8 32 60  0  0
 1  0      0 2816040  53604 1075380    0    0     0     0 2776 4624  7 33 60  0  0
 1  0      0 2817052  53604 1075440    0    0     0     0 2761 4527  8 30 61  0  0
 1  0      0 2814920  53612 1075464    0    0     0    20 2858 4580  8 32 59  1  0
 2  0      0 2815100  53612 1075524    0    0     0     0 2834 4494 10 31 58  0  0
 1  0      0 2815552  53612 1075568    0    0     0     0 2815 4436  8 32 60  0  0
 1  0      0 2814000  53612 1075552    0    0     0     0 2800 4562  7 33 59  0  0
 1  0      0 2814132  53612 1075552    0    0     0     0 2790 4472  9 31 60  0  0
