procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2810404  52476 1073336    0    0     0     0 2492 3624  7 30 62  0  0
 2  0      0 2809708  52476 1073352    0    0     0     8 2548 3722  6 31 63  0  0
 1  0      0 2810488  52480 1073528    0    0     0    24 2553 3617  7 31 61  1  0
 3  0      0 2810236  52480 1073380    0    0     0     0 2509 3591  7 31 62  0  1
 1  0      0 2809876  52480 1073380    0    0     0     0 2500 3653  6 32 62  0  0
 3  0      0 2810016  52480 1073444    0    0     0     0 2449 3577  7 31 62  0  1
 1  0      0 2809452  52480 1073500    0    0     0     0 2488 3646  6 32 62  0  0
 3  0      0 2809676  52484 1073528    0    0     0    16 2520 3526  7 32 61  1  0
 1  0      0 2809584  52484 1073620    0    0     0     0 2517 3607  6 31 62  0  0
 1  0      0 2810160  52484 1073584    0    0     0     0 2515 3627  8 31 62  0  0
 1  0      0 2809244  52484 1073616    0    0     0     0 2525 3596  6 32 62  0  0
 3  1      0 2809092  52488 1073696    0    0     0    28 2542 3587  6 32 62  0  0
 1  0      0 2809248  52488 1073540    0    0     0     0 2498 3663  8 30 61  1  0
 1  0      0 2809412  52488 1073648    0    0     0     0 2475 3657  6 31 63  0  0
 1  0      0 2808892  52488 1073712    0    0     0     0 2479 3515  7 31 62  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2808916  52488 1073628    0    0     0     0 2518 3537  7 32 62  0  0
 2  1      0 2808916  52492 1073508    0    0     0    16 2492 3593  8 30 61  0  0
 2  0      0 2808968  52492 1073492    0    0     0     0 2487 3548  8 30 62  1  0
 3  0      0 2808624  52492 1073704    0    0     0     0 2523 3593  8 30 61  0  0
 3  0      0 2808716  52492 1073512    0    0     0     0 2485 3524  6 31 62  0  0
 2  0      0 2808932  52492 1073616    0    0     0     0 2544 3574  6 32 61  0  0
 3  1      0 2809068  52500 1073572    0    0     0    16 2481 3623  5 33 62  0  0
 0  0      0 2809148  52500 1073732    0    0     0     0 2558 3727  6 32 62  1  0
 3  0      0 2808960  52500 1073672    0    0     0     0 2475 3498  8 30 62  0  1
 1  0      0 2808688  52500 1073736    0    0     0     0 2520 3538  6 32 62  0  0
 2  0      0 2809192  52500 1073748    0    0     0     0 2489 3493  7 30 63  0  0
 2  0      0 2808540  52500 1073644    0    0     0   300 2515 3599  7 32 61  0  0
 1  0      0 2808580  52500 1073692    0    0     0    28 2448 3567  7 30 62  1  0
 1  0      0 2809092  52500 1073736    0    0     0     0 2486 3651  6 32 62  0  0
 2  0      0 2808816  52500 1073660    0    0     0     0 2498 3508  6 32 62  0  0
 1  0      0 2808952  52500 1073732    0    0     0     0 2492 3509  9 29 63  0  0
 1  0      0 2808664  52500 1073668    0    0     0     0 2521 3602  6 32 62  0  0
 2  0      0 2808884  52504 1073680    0    0     0    16 2543 3663  6 32 60  0  0
 1  0      0 2809004  52504 1073784    0    0     0     0 2459 3584  7 31 62  0  0
 1  0      0 2809332  52504 1073828    0    0     0     0 2542 3594  5 31 63  0  1
 2  0      0 2808860  52504 1073616    0    0     0     0 2511 3640  8 30 61  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 2808616  52512 1073624    0    0     0    32 2505 3597  6 31 62  0  0
 3  0      0 2808320  52512 1073720    0    0     0     0 2529 3575  7 31 61  1  0
 1  0      0 2808520  52512 1073916    0    0     0     0 2523 3595  8 30 62  0  0
 1  0      0 2808224  52512 1073744    0    0     0     0 2506 3644  6 31 62  0  1
 3  0      0 2808668  52512 1073852    0    0     0     0 2489 3534  7 32 62  0  0
 3  0      0 2808668  52512 1073728    0    0     0     0 2527 3588  6 31 62  0  0
 1  0      0 2808600  52516 1073776    0    0     0    16 2464 3644  6 32 62  0  0
 1  0      0 2809208  52516 1073828    0    0     0     0 2565 3642  6 31 63  0  0
 2  0      0 2808664  52516 1073780    0    0     0     0 2520 3629  6 31 63  0  0
 2  0      0 2808476  52516 1073856    0    0     0     0 2516 3539  8 30 62  0  0
 2  0      0 2808184  52516 1074128    0    0     0     0 2500 3574  7 31 62  0  0
 1  0      0 2808476  52520 1074028    0    0     0    16 2566 3622  5 32 62  1  0
 3  0      0 2808576  52520 1073848    0    0     0     0 2501 3546  7 31 62  0  1
 1  0      0 2808404  52520 1073940    0    0     0     0 2515 3558  7 31 62  0  0
 2  0      0 2808632  52520 1073968    0    0     0     0 2498 3570  5 32 62  0  1
 2  0      0 2808852  52520 1074116    0    0     0     0 2527 3587  7 32 62  0  0
 1  0      0 2808076  52524 1074020    0    0     0    16 2499 3614  7 30 61  1  1
 1  0      0 2808240  52524 1074040    0    0     0     0 2526 3540  6 32 63  0  0
 2  0      0 2808644  52524 1073884    0    0     0     0 2521 3566  6 32 62  0  0
 2  0      0 2809096  52524 1074044    0    0     0     0 2576 3655  7 32 61  0  0
 1  0      0 2807876  52524 1074080    0    0     0   300 2477 3530  6 32 62  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2808476  52532 1074244    0    0     0    28 2553 3583  6 31 62  1  1
 2  0      0 2808220  52532 1074132    0    0     0     0 2511 3560  8 31 62  0  0
 1  0      0 2808180  52532 1074264    0    0     0     0 2530 3611  6 32 62  0  1
 1  0      0 2808276  52532 1074272    0    0     0     0 2496 3444  7 31 62  0  0
 3  0      0 2808264  52532 1074288    0    0     0    12 2503 3467  5 32 62  0  0
 1  0      0 2808380  52536 1074056    0    0     0    16 2483 3599  5 32 61  1  0
 1  0      0 2809264  52536 1074024    0    0     0     0 2508 3594  6 31 63  0  1
 1  0      0 2808932  52536 1074044    0    0     0     0 2512 3570  7 31 62  0  0
 2  0      0 2808536  52536 1073972    0    0     0     0 2511 3655  6 32 62  0  0
 3  1      0 2808052  52540 1074092    0    0     0    16 2473 3559  5 32 62  0  1
 3  0      0 2808616  52540 1074208    0    0     0     0 2524 3563  6 31 61  1  1
 1  0      0 2808440  52540 1074084    0    0     0     0 2488 3551  7 32 62  0  0
 1  0      0 2808872  52540 1074152    0    0     0     0 2455 3541  7 30 62  0  1
 3  0      0 2808072  52540 1074052    0    0     0     0 2507 3650  6 32 62  0  0
 1  1      0 2807988  52548 1074272    0    0     0    32 2531 3603  7 30 63  0  0
 1  0      0 2808108  52548 1074292    0    0     0     0 2497 3592  7 30 62  1  0
 1  0      0 2808740  52548 1074252    0    0     0     0 2512 3607  6 33 62  0  0
 3  0      0 2808328  52548 1074376    0    0     0     0 2511 3597  7 31 62  0  0
 1  0      0 2808700  52548 1074116    0    0     0     0 2526 3580  6 32 62  0  0
 3  1      0 2808184  52552 1074128    0    0     0    16 2549 3590  7 30 62  0  0
 1  0      0 2808372  52552 1074280    0    0     0     0 2485 3507  7 31 61  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 2807840  52552 1073980    0    0     0     0 2527 3598  6 31 62  0  1
 1  0      0 2809004  52552 1074160    0    0     0     0 2520 3555  7 30 62  0  0
 1  0      0 2808056  52552 1074544    0    0     0     0 2501 3521  7 31 62  0  0
 1  1      0 2808140  52556 1074344    0    0     0    16 2487 3525  7 31 62  0  0
 1  0      0 2808020  52556 1074424    0    0     0     0 2446 3509  6 32 61  0  0
 1  0      0 2807924  52556 1074488    0    0     0     0 2501 3616  8 30 62  0  0
 2  0      0 2807380  52556 1074292    0    0     0     0 2529 3674  7 31 62  0  0
 1  0      0 2807648  52556 1074172    0    0     0     0 2519 3573  5 33 61  0  0
 1  1      0 2806932  52556 1074252    0    0     0   328 2494 3597  7 31 62  0  0
 1  0      0 2807516  52556 1074244    0    0     0     0 2513 3591  6 31 62  1  1
 1  0      0 2807008  52556 1074272    0    0     0     0 2535 3614  6 32 61  0  0
 1  0      0 2807056  52556 1074252    0    0     0     0 2518 3592  6 32 62  0  1
 3  0      0 2806932  52556 1074248    0    0     0     0 2519 3642  5 33 62  0  0
 1  0      0 2807172  52556 1074664    0    0     0     0 2514 3516  6 32 61  0  0
 1  0      0 2806828  52560 1074396    0    0     0    16 2528 3561  6 31 62  1  0
 3  0      0 2807088  52560 1074344    0    0     0     0 2571 3699  5 32 62  0  1
 1  0      0 2806916  52560 1074448    0    0     0     0 2541 3633  5 32 63  0  0
 2  0      0 2807652  52560 1074384    0    0     0     0 2510 3566  6 31 63  0  0
 1  0      0 2806960  52560 1074432    0    0     0     0 2521 3709  6 31 62  0  1
 2  0      0 2807416  52568 1074532    0    0     0    16 2520 3605  6 32 61  1  0
 1  0      0 2807684  52568 1074436    0    0     0     0 2503 3666  5 33 62  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2807296  52568 1074360    0    0     0     0 2506 3560  7 31 62  0  1
 1  0      0 2807444  52568 1074416    0    0     0     0 2491 3571  7 31 62  0  0
 3  0      0 2806820  52568 1074780    0    0     0   168 2474 3645  5 33 62  0  0
 1  0      0 2807460  52568 1074492    0    0     0    28 2469 3588  6 31 62  1  0
 3  0      0 2807136  52568 1074616    0    0     0     0 2479 3578  6 31 62  0  0
 2  0      0 2807152  52568 1074444    0    0     0     0 2454 3552  6 32 62  0  0
 1  0      0 2807232  52568 1074644    0    0     0     0 2504 3573  7 31 62  0  1
 1  0      0 2807060  52568 1074464    0    0     0     0 2552 3619  7 31 62  0  0
 1  0      0 2806580  52568 1074708    0    0     0    16 2528 3576  7 31 61  1  0
 1  0      0 2806540  52568 1074660    0    0     0     0 2512 3522  6 32 62  0  1
 1  0      0 2807600  52568 1074612    0    0     0     0 2532 3645  7 31 62  0  0
 2  0      0 2806856  52568 1074424    0    0     0     0 2447 3532  7 31 62  0  0
 1  1      0 2806964  52572 1074660    0    0     0    16 2524 3630  6 33 61  0  0
 1  0      0 2807292  52572 1074372    0    0     0     0 2554 3642  6 31 62  1  0
 1  0      0 2807500  52572 1074656    0    0     0     0 2542 3607  6 32 62  0  0
 3  0      0 2806796  52572 1074548    0    0     0     0 2508 3551  6 31 62  0  0
 3  0      0 2806192  52572 1074560    0    0     0     0 2539 3599  7 31 61  0  0
 2  0      0 2806420  52572 1074672    0    0     0     0 2530 3569  7 31 62  0  0
 1  0      0 2806872  52576 1074776    0    0     0    16 2544 3623  7 31 61  1  0
 1  0      0 2807608  52576 1074444    0    0     0     0 2506 3618  7 30 63  0  0
 1  0      0 2807500  52576 1074632    0    0     0     0 2518 3676  5 32 62  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2806916  52576 1074668    0    0     0     0 2520 3632  7 30 62  0  0
 1  1      0 2807248  52580 1074736    0    0     0    16 2501 3535  7 31 62  0  0
 1  0      0 2806808  52580 1074740    0    0     0     0 2554 3584  6 32 62  1  0
 1  0      0 2807288  52580 1074600    0    0     0     0 2463 3555  6 32 61  0  0
 3  0      0 2806992  52580 1074876    0    0     0     0 2455 3589  8 30 62  0  0
 2  0      0 2807108  52580 1074488    0    0     0     0 2446 3538  7 31 62  0  1
 3  0      0 2807308  52580 1074644    0    0     0     0 2529 3663  8 30 62  0  0
 1  0      0 2807048  52580 1074820    0    0     0    16 2558 3697  6 32 62  1  0
 0  0      0 2806988  52580 1074788    0    0     0     0 2529 3599  6 32 62  0  0
 1  0      0 2807384  52580 1074636    0    0     0     0 2509 3629  5 32 63  0  0
 3  0      0 2807288  52580 1074644    0    0     0     0 2494 3598  7 31 62  0  0
 1  0      0 2806344  52580 1074696    0    0     0   300 2498 3666  6 32 62  0  0
 1  0      0 2806996  52580 1074776    0    0     0    28 2532 3585  5 33 60  1  0
 1  0      0 2806484  52580 1074708    0    0     0     0 2508 3552  6 32 62  0  0
 1  0      0 2806148  52580 1075036    0    0     0     0 2523 3625  7 31 62  0  0
 2  0      0 2806404  52580 1074952    0    0     0     0 2566 3648  7 31 63  0  0
 1  1      0 2806808  52580 1074688    0    0     0    36 2498 3588  7 31 62  0  0
 3  0      0 2806288  52580 1075004    0    0     0     0 2530 3607  5 32 62  1  0
 2  0      0 2806488  52580 1074828    0    0     0     0 2538 3605  7 31 62  0  0
 3  0      0 2806844  52580 1074852    0    0     0     0 2540 3659  7 31 62  0  1
 3  0      0 2806752  52580 1074888    0    0     0     0 2514 3532  6 33 61  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 2806672  52580 1074988    0    0     0    16 2540 3588  7 31 61  0  0
 1  0      0 2806532  52580 1074796    0    0     0     0 2507 3601  6 31 62  1  0
 3  0      0 2806472  52580 1074824    0    0     0     0 2498 3544  6 32 62  0  0
 3  0      0 2806736  52580 1075028    0    0     0     0 2480 3599  6 31 62  0  0
 1  0      0 2807032  52580 1074852    0    0     0     0 2416 3489  5 32 63  0  1
 0  0      0 2862588  52580 1074928    0    0     0     0 2119 3023  5 27 68  0  0
 0  0      0 2863080  52580 1074804    0    0     0    20  102   44  0  0 99  1  0
 0  0      0 2863080  52580 1074804    0    0     0     0   90   22  0  0 100  0  0
 0  0      0 2863080  52580 1074804    0    0     0     0   97   30  0  0 100  0  0
 0  0      0 2863080  52580 1074804    0    0     0     0   89   26  0  0 100  0  0
 0  0      0 2863080  52580 1074804    0    0     0     0   93   27  0  0 100  0  0
 0  0      0 2863080  52580 1074804    0    0     0     0   88   20  0  0 100  0  0
 0  0      0 2863080  52584 1074804    0    0     0    12  100   39  0  0 100  1  0
 0  0      0 2863080  52584 1074804    0    0     0     0   89   26  0  0 100  0  0
 0  0      0 2863080  52584 1074804    0    0     0     0   91   22  0  0 100  0  0
 0  0      0 2863080  52584 1074804    0    0     0     0   89   22  0  0 100  0  0
 0  0      0 2863080  52584 1074804    0    0     0     0   96   26  0  0 100  0  0
 0  0      0 2863204  52584 1074712    0    0     0    12  100   39  0  0 99  1  0
 0  0      0 2863204  52584 1074712    0    0     0     0  107   40  0  0 100  0  0
 0  0      0 2863204  52584 1074708    0    0     0     0   92   28  0  0 100  0  0
 0  0      0 2863204  52584 1074708    0    0     0   152  110   42  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 2863204  52592 1074696    0    0     0    24   90   33  0  0 100  0  0
 0  0      0 2863204  52592 1074704    0    0     0     0  104   35  0  0 98  2  0
 0  0      0 2863328  52592 1074592    0    0     0     0   91   31  0  0 100  0  0
 0  0      0 2863452  52592 1074484    0    0     0     0   97   30  0  0 100  0  0
 0  0      0 2863452  52592 1074480    0    0     0     0   95   33  0  0 100  0  0
 0  0      0 2863452  52592 1074480    0    0     0     0   96   22  0  0 100  0  0
 0  0      0 2863452  52600 1074480    0    0     0    12   95   35  0  0 99  1  0
 0  0      0 2863452  52600 1074480    0    0     0     0  100   34  0  0 100  0  0
 0  0      0 2863452  52600 1074476    0    0     0     0   91   28  0  0 100  0  0
 0  0      0 2863452  52600 1074476    0    0     0    20   93   20  0  0 100  0  0
 0  0      0 2863452  52600 1074476    0    0     0     0   96   32  0  0 100  0  0
 0  0      0 2863452  52608 1074360    0    0     0    24   95   36  0  0 99  1  0
 0  0      0 2863452  52608 1074360    0    0     0     0   92   30  0  0 100  0  0
 0  0      0 2863452  52608 1074360    0    0     0     0   88   18  0  0 100  0  0
 0  0      0 2863452  52608 1074360    0    0     0     4   90   24  0  0 100  0  0
 0  0      0 2863452  52608 1074360    0    0     0     0   87   18  0  0 100  0  0
 0  0      0 2863452  52612 1074360    0    0     0    24  108   53  0  0 99  1  0
 0  0      0 2863452  52612 1074356    0    0     0     0   96   30  0  0 100  0  0
 0  0      0 2863452  52612 1074356    0    0     0     0   98   30  0  0 100  0  0
 0  0      0 2863452  52612 1074352    0    0     0     0   98   35  0  0 100  0  0
 0  0      0 2863484  52612 1074344    0    0     0     0   97   38  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2863608  52620 1074220    0    0     0    12   98   38  0  0 99  1  0
 0  0      0 2863732  52620 1074100    0    0     0     0   90   24  0  0 100  0  0
 0  0      0 2863732  52620 1074100    0    0     0     0   91   24  0  0 100  0  0
