procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2849656  54464 1082676    0    0    15    75   93  141  1  3 94  1  0
 0  0      0 2849688  54464 1082668    0    0     0     0   42   54  0  0 100  0  0
 0  0      0 2849688  54464 1082668    0    0     0     0   20   25  0  0 100  0  0
 1  0      0 2849492  54464 1082668    0    0     0     0   24   33  0  0 100  0  0
 2  0      0 2823832  54464 1082680    0    0     0     0 2374 3698 14 19 66  0  0
 1  0      0 2821736  54464 1082652    0    0     0    92 2948 4785  9 31 59  0  0
 2  0      0 2818812  54464 1082672    0    0     0     0 2950 4823  9 30 60  0  0
 1  0      0 2816148  54464 1082724    0    0     0     0 2974 5152 11 29 60  0  0
 1  0      0 2813644  54464 1082776    0    0     0     0 3035 5036 11 29 60  0  1
 2  0      0 2811524  54464 1082788    0    0     0     0 2919 4873 11 29 60  0  0
 1  1      0 2810040  54464 1082776    0    0     0   124 3032 4990  8 31 60  1  0
 2  0      0 2805964  54464 1082772    0    0     0     0 2978 5143 11 30 59  1  0
 1  0      0 2804380  54464 1082788    0    0     0     0 3072 5329  9 30 60  0  0
 3  0      0 2801728  54464 1082860    0    0     0     0 3072 5297 10 29 61  0  0
 2  0      0 2799228  54464 1082896    0    0     0     0 2902 5061 10 30 60  0  0
 2  1      0 2796224  54468 1082856    0    0     0    28 2884 4911  8 31 60  1  0
 1  0      0 2794016  54468 1082868    0    0     0     0 3091 4984  8 32 59  0  0
 1  0      0 2791436  54468 1082928    0    0     0     0 3021 5400 12 29 60  0  0
 1  0      0 2789192  54468 1082956    0    0     0     0 2968 5146  9 31 59  0  0
 1  0      0 2787260  54468 1082992    0    0     0     0 2962 5178 11 29 60  0  0
 1  1      0 2784120  54472 1083024    0    0     0   132 2970 5211  9 30 60  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2782196  54472 1083080    0    0     0     0 2911 5739 12 29 59  1  0
 1  0      0 2779336  54472 1083128    0    0     0     0 2895 5590 10 29 61  0  1
 1  0      0 2777216  54472 1083076    0    0     0     0 2903 5339 10 30 60  0  0
 2  0      0 2774428  54472 1083092    0    0     0     0 2945 4908 12 29 59  0  0
 1  1      0 2772188  54480 1083208    0    0     0    28 3005 4802 12 29 59  0  0
 2  0      0 2769552  54480 1083132    0    0     0     0 2899 4763 12 29 59  0  0
 3  0      0 2766464  54480 1083248    0    0     0     0 2972 5462 10 30 60  0  0
 2  0      0 2764912  54480 1083300    0    0     0     0 2686 5680 10 30 60  0  0
 2  0      0 2762276  54480 1083332    0    0     0     0 2986 5148 10 31 59  0  0
 1  1      0 2760492  54484 1083268    0    0     0    16 2961 5265 10 30 59  0  0
 1  0      0 2757112  54484 1083336    0    0     0   104 2895 4829 10 31 59  1  0
 2  0      0 2754284  54484 1083344    0    0     0     0 2870 5229 11 29 60  0  0
 1  0      0 2753056  54484 1083448    0    0     0     0 2826 5397 10 29 60  0  0
 1  0      0 2749564  54484 1083436    0    0     0     0 2943 5087 10 30 60  0  0
 1  0      0 2747736  54484 1083460    0    0     0     0 2826 4866 11 29 60  0  0
 1  0      0 2745168  54492 1083556    0    0     0    28 2816 5260  9 30 60  1  0
 2  0      0 2742844  54492 1083556    0    0     0     0 3022 4997 10 30 59  0  0
 2  0      0 2740212  54492 1083592    0    0     0     0 3025 4776 11 29 60  0  0
 2  0      0 2737832  54492 1083604    0    0     0     0 3063 4919 11 29 60  0  0
