procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311384  31904 638764    0    0     0     0   66   75  0  0 100  0  0
 0  0    364 3311564  31904 638768    0    0     0     0   67   72  0  1 99  0  0
 0  0    364 3311440  31904 638772    0    0     0     0   72   80  0  0 100  0  0
 0  0    364 3311192  31912 638780    0    0     0    12   68   83  0  0 97  3  0
 0  0    364 3311440  31912 638780    0    0     0     0   65   73  0  0 100  0  0
 0  0    364 3311324  31912 638784    0    0     0     0   74   84  0  0 100  0  0
 0  0    364 3311472  31912 638788    0    0     0     0   69   81  0  0 100  0  0
 0  0    364 3311472  31912 638704    0    0     0     0   69   76  0  0 100  0  0
 0  0    364 3311472  31920 638704    0    0     0    12   83   99  0  0 97  3  0
 0  0    364 3311084  31920 638704    0    0     0     0   61   66  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311208  31920 638708    0    0     0     0   72   83  0  0 100  0  0
 0  0    364 3311208  31920 638712    0    0     0     0   66   72  0  0 100  0  0
 0  0    364 3311300  31920 638716    0    0     0     0   69   77  0  1 100  0  0
 0  0    364 3311160  31928 638716    0    0     0    12   66   81  0  0 96  3  0
 0  0    364 3311192  31928 638724    0    0     0     0   70   83  0  0 100  0  0
 0  0    364 3311192  31928 638724    0    0     0     0   75   82  0  1 100  0  0
 0  0    364 3311276  31928 638716    0    0     0     0   68   76  0  0 100  0  0
 0  0    364 3311192  31928 638716    0    0     0     0   71   66  0  0 99  0  0
 0  0    364 3311168  31936 638716    0    0     0    12   78   96  0  0 97  2  0
 0  0    364 3311068  31936 638716    0    0     0     0   63   70  0  0 100  0  0
 0  0    364 3311152  31936 638724    0    0     0     8   69   81  0  0 99  0  0
 0  0    364 3311348  31936 638724    0    0     0     0   59   69  0  0 100  0  0
 0  0    364 3311184  31936 638732    0    0     0     0   70   82  0  0 100  0  0
 0  0    364 3311160  31944 638732    0    0     0    24   80   92  0  0 97  2  0
 0  0    364 3311152  31944 638740    0    0     0     0   62   68  0  0 100  0  0
 0  0    364 3310952  31944 638740    0    0     0     0   75   86  1  0 100  0  0
 0  0    364 3311184  31944 638748    0    0     0     0   67   79  0  1 100  0  0
 0  0    364 3311076  31944 638748    0    0     0     0   64   73  0  0 100  0  0
 0  0    364 3311184  31952 638756    0    0     0    12   73   85  0  0 98  2  0
 0  0    364 3311184  31952 638756    0    0     0     0   62   68  0  0 99  0  0
 0  0    364 3311076  31952 638764    0    0     0     0   70   81  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311224  31952 638764    0    0     0     0   70   74  0  0 100  0  0
 0  0    364 3311184  31952 638772    0    0     0     0   68   78  0  0 100  0  0
 0  0    364 3311184  31960 638764    0    0     0    12   74   83  0  0 97  3  0
 0  0    364 3311184  31960 638780    0    0     0     0   70   84  0  0 100  0  0
 0  0    364 3311332  31960 638780    0    0     0     0   71   77  0  0 100  0  0
 0  0    364 3311232  31960 638788    0    0     0     0   68   78  0  0 100  0  0
 0  0    364 3311232  31960 638788    0    0     0     0   66   67  0  0 100  0  0
 0  0    364 3311216  31968 638796    0    0     0    12   76   96  0  0 96  3  0
 0  0    364 3310912  31968 638796    0    0     0     0   58   65  0  0 99  0  0
 0  0    364 3311284  31968 638804    0    0     0     0   65   79  0  0 100  0  0
 0  0    364 3311260  31968 638804    0    0     0     0   63   66  0  0 100  0  0
 0  0    364 3311340  31968 638720    0    0     0     0   67   83  0  0 100  0  0
 0  0    364 3311340  31976 638712    0    0     0    12   72   84  0  0 97  3  0
 0  0    364 3311340  31976 638720    0    0     0     0   66   75  0  0 100  0  0
 0  0    364 3311488  31976 638720    0    0     0     0   73   78  0  0 100  0  0
 0  0    364 3311264  31976 638724    0    0     0     0   69   81  0  0 100  0  0
 0  0    364 3311412  31976 638724    0    0     0     0   63   66  0  0 100  0  0
 0  0    364 3311280  31984 638732    0    0     0    12   67   80  0  0 97  2  0
 0  0    364 3311428  31984 638732    0    0     0     0   64   68  0  0 100  0  0
 0  0    364 3311280  31984 638740    0    0     0     4   68   79  0  0 100  0  0
 0  0    364 3311428  31984 638740    0    0     0     0   65   68  0  0 100  0  0
